data_id,country,event_type,sub_event_type,fatalities,notes
8059811,Somalia,Battles,Armed clash,0,"['al', 'shabaab', 'militant', 'attacked', 'amisom', 'updf', 'forward', 'operation', 'base', 'vicinity', 'shalaambood', 'village', 'marka', 'lower', 'shabelle', 'fatality', 'injury', 'reported']"
8059300,Egypt,Battles,Armed clash,1,"['sniper', 'islamic', 'state', 'shot', 'killed', 'senior', 'officer', 'egyptian', 'military', 'force', 'ash', 'shallaq', 'al', 'shiekh', 'zuwaid', 'north', 'sinai']"
8059316,Mali,Battles,Armed clash,5,"['presumed', 'katiba', 'macina', 'katiba', 'khalid', 'ibn', 'al', 'walid', 'coded', 'jnim', 'militant', 'attacked', 'combined', 'police', 'forest', 'guard', 'checkpoint', 'near', 'town', 'bougouni', 'bougouni', 'sikasso', 'militant', 'killed', 'five', 'people', 'including', 'one', 'policeman', 'four', 'civilian', 'wounded', 'seven', 'others', 'burned', 'two', 'vehicle', 'one', 'militant', 'also', 'wounded', 'motorbike', 'weapon', 'gear', 'left', 'behind']"
8059610,Democratic Republic of Congo,Battles,Armed clash,0,"['element', 'pnc', 'attacked', 'injured', 'mayi', 'mayi', 'buhirwha', 'bwagwa', 'village', 'uvira', 'sud', 'kivu', 'militant', 'tried', 'kidnap', 'teacher', 'police', 'pushed', 'militant', 'area']"
8069340,Democratic Republic of Congo,Battles,Armed clash,0,"['fardc', 'clashed', 'apcls', 'village', 'kyachinge', 'masisi', 'nord', 'kivu', 'apcls', 'repelled', 'fardc', 'area', 'injury', 'fatality', 'recorded']"
8059387,South Sudan,Battles,Armed clash,7,"['unknown', 'attacker', 'raided', 'village', 'near', 'mat', 'maat', 'wunlet', 'payam', 'canal', 'pigi', 'county', 'jonglei', 'state', 'coded', 'neinjang', 'killing', 'people', 'slept', 'local', 'militia', 'confronted', 'pursued', 'attacking', 'group', 'killing', 'county', 'commissioner', 'accused', 'murle', 'cattle', 'raider', 'responsible', 'disputed', 'prominent', 'murle', 'figure', 'drawn', 'attention', 'distance', 'pibor', 'canal', 'pigi', 'cattle', 'stolen']"
8059393,Sudan,Battles,Armed clash,10,"['hundred', 'ethnic', 'fur', 'least', 'related', 'trader', 'killed', 'previous', 'day', 'engaged', 'number', 'act', 'disorder', 'violence', 'foro', 'burunga', 'town', 'foro', 'baranga', 'locality', 'west', 'darfur', 'state', 'beating', 'executive', 'director', 'locality', 'looting', 'torching', 'several', 'administrative', 'building', 'shop', 'authority', 'failed', 'arrest', 'killer', 'trader', 'event', 'sparked', 'several', 'hour', 'clash', 'fur', 'arab', 'presumed', 'rizeigat', 'militia', 'town', 'killing', 'total', 'note', 'unclear', 'whether', 'figure', 'includes', 'trader', 'killed', 'previous', 'day', 'fatality', 'coded', 'pending', 'clarification', 'wounding', 'least', 'deceased', 'rizeigat', 'killed', 'start', 'disorder', 'responded', 'attacking', 'hospital', 'killing', 'fur', 'treated', 'injury', 'security', 'force', 'deployed', 'heavily', 'town']"
8059665,Nigeria,Battles,Armed clash,0,"['private', 'security', 'guard', 'clashed', 'armed', 'individual', 'nigeria', 'immigration', 'service', 'head', 'office', 'ubakala', 'axis', 'enugu', 'port', 'harcourt', 'expressway', 'port', 'harcourt', 'lga', 'river', 'report', 'injury', 'fatality']"
8059674,Democratic Republic of Congo,Battles,Armed clash,1,"['fardc', 'clashed', 'adf', 'commune', 'bulongo', 'oicha', 'nord', 'kivu', 'adf', 'attempted', 'carry', 'attack', 'area', 'civilian', 'killed', 'fardc', 'pushed', 'adf', 'area']"
8059694,Somalia,Battles,Armed clash,2,"['government', 'security', 'force', 'bancroft', 'jubaland', 'force', 'clashed', 'al', 'shabaab', 'militant', 'vicinity', 'labikuus', 'village', 'near', 'kismayo', 'town', 'kismaayo', 'lower', 'juba', 'al', 'shabaab', 'claimed', 'killing', 'two', 'soldier']"
8059699,Somalia,Battles,Armed clash,37,"['government', 'security', 'force', 'sna', 'clashed', 'al', 'shabaab', 'militant', 'xaararay', 'village', 'near', 'jowhar', 'town', 'jowhar', 'middle', 'shabelle', 'thirty', 'seven', 'militant', 'killed', 'forty', 'others', 'injured']"
8059710,South Sudan,Battles,Armed clash,2,"['boya', 'cattle', 'raider', 'napak', 'payam', 'budi', 'county', 'attacked', 'unspecified', 'area', 'close', 'lokwamor', 'kapoeta', 'north', 'county', 'eastern', 'equatoria', 'state', 'killing', 'two', 'cattle', 'keeper', 'presumed', 'toposa', 'prompting', 'local', 'militia', 'mobilize', 'engage', 'firefight', 'boya', 'raider', 'head', 'cattle', 'initially', 'stolen', 'majority', 'recovered', 'group', 'clashed']"
8059482,Somalia,Battles,Armed clash,0,"['two', 'group', 'government', 'security', 'force', 'sna', 'clashed', 'milk', 'factory', 'neighborhood', 'mogadishu', 'hodan', 'district', 'banadir', 'one', 'civilian', 'bystander', 'injured', 'reason', 'clash', 'unknown']"
8059508,Nigeria,Battles,Armed clash,4,"['unidentified', 'armed', 'individual', 'clashed', 'police', 'officer', 'attack', 'izombe', 'divisional', 'police', 'headquarters', 'oguta', 'lga', 'imo', 'shoot', 'perpetrator', 'killed', 'injured']"
8059522,Nigeria,Battles,Armed clash,0,"['unidentified', 'armed', 'individual', 'attacked', 'umuagu', 'police', 'station', 'umuahia', 'north', 'lga', 'abia', 'unknown', 'whether', 'fatality', 'injures', 'occurred']"
