data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7937288,231,ETH6755,6755,"30 April 2021",2021,1,"Violence against civilians",Attack,"Unidentified Ethnic Militia (Ethiopia)",,4,"Civilians (Ethiopia)",,7,47,"Eastern Africa",Ethiopia,Benshangul/Gumuz,Metekel,Guba,Guba,11.267,35.283,2,"Deutsche Welle",International,"On 30 April 2021, unidentified armed militants attacked vehicles traveling from Asosa to Metekel zone in Guba woreda (Metekel Zone, Benishangul-Gumz). According to security forces, the attacks resulted in the death of an unspecified number of people. Unknown fatalities coded as 3.",3,1620675925,ETH
7927661,231,ETH6750,6750,"30 April 2021",2021,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Sudan (2019-)",,8,,,0,80,"Eastern Africa",Ethiopia,Amhara,"West Gondar",Metema,Metema,12.9521,36.1563,2,"Deutsche Welle",International,"On 30 April 2021, Sudanese armed forces reportedly fired heavy artillery into a farm on the Ethiopian side of the border in the area of Mendoka [coded to Metema] (West Gondar, Amhara).",0,1620076267,ETH
7927667,231,ETH6751,6751,"30 April 2021",2021,1,"Violence against civilians",Attack,"OLF: Oromo Liberation Front (Shane Splinter Faction)",,2,"Civilians (Ethiopia)","Amhara Ethnic Group (Ethiopia); Oromo Ethnic Group (Ethiopia)",7,27,"Eastern Africa",Ethiopia,Oromia,"Horo Gudru Wellega",Amuru,Amuru,9.9833,36.9667,2,EBC,National,"On 30 April 2021, suspected members of OLF-Shane shot and killed 15 people after pulling them off a bus in Amuru kebele (Horo Gudru Wellega, Oromia). Those killed were from both the Oromo and Amhara ethnic groups. Additional victims were wounded in the incident.",15,1620076267,ETH
7927669,231,ETH6749,6749,"30 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)","Amhara Ethnic Group (Ethiopia)",6,,,0,60,"Eastern Africa",Ethiopia,Oromia,"East Wellega",Limu,Arkumbe,9.5454,36.5003,1,EBC,National,"On 30 April 2021, demonstrators gathered in Arkumbe (East Wellega, Oromia) to denounce loss of life and property as a result of attacks on ethnic Amhara communities in the area. [size= no report]",0,1620076267,ETH
7927509,231,ETH6752,6752,"30 April 2021",2021,1,"Violence against civilians",Attack,"Unidentified Armed Group (Ethiopia)",,3,"Civilians (Ethiopia)",,7,37,"Eastern Africa",Ethiopia,SNNP,"Bench Sheko","Semen Bench","Mizan Teferi",6.9833,35.5833,2,"Addis Standard",National,"On 30 April 2021, unidentified armed militants shot and killed 6 people in Danchu woreda [coded to Mizan Teferi] (Bench Sheko zone, SNNP).",6,1620076266,ETH
7927668,231,ETH6748,6748,"29 April 2021",2021,1,"Strategic developments","Headquarters or base established","Military Forces of Ethiopia (2018-)",,1,,,0,10,"Eastern Africa",Ethiopia,Amhara,"Central Gondar","Aykel town",Aykel,12.55,37.0667,1,EBC,National,"On 29 April 2021, a command post was established at Aykel town in the Chilga zone (Central Gondar, Amhara region) following a number of security incidents in the area. Kemant ethnic militias have clashed with Amhara regional special forces in the area and tensions remain high.",0,1620076267,ETH
7928076,231,ETH6747,6747,"28 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)",,6,,,0,60,"Eastern Africa",Ethiopia,Somali,Siti,Gota-Biki,Biki,9.5333,41.2,1,"Voss TV",Subnational,"On 28 April 2021, demonstrators in Biki (Siti, Somali) denounced a recent NEBE decision in regards to voting registration centers in select areas of contested territory along the Somali and Afar regional state borders. [size=no report]",0,1620076268,ETH
7928078,231,ETH6746,6746,"28 April 2021",2021,1,Protests,"Peaceful protest","Protesters (Ethiopia)",,6,,,0,60,"Eastern Africa",Ethiopia,Somali,Siti,Ayisha,Aysha,10.7554,42.5737,1,"Voss TV",Subnational,"On 28 April 2021, demonstrators in Aysha (Siti, Somali) denounced a recent NEBE decision in regards to voting registration centers in select areas of contested territory along the Somali and Afar regional state borders. [size=no report]",0,1620076268,ETH
7927670,231,ETH6745,6745,"28 April 2021",2021,1,"Violence against civilians",Attack,"Unidentified Armed Group (Ethiopia)",,3,"Civilians (Ethiopia)","Labour Group (Ethiopia)",7,37,"Eastern Africa",Ethiopia,Oromia,"North Shewa",Kuyu,"Gebre Guracha",9.8,38.4,2,EBC,National,"On 28 April 2021, unidentified gunmen attacked a convoy of trucks traveling from Addis Ababa to Gojjam around the Kuyu/Degem woreda area [coded to Gebre Guracha] (North Shewa, Oromia). 5 people were killed during the attack.",5,1620076267,ETH
7992706,231,ETH6761,6761,"28 April 2021",2021,1,"Violence against civilians",Attack,"Military Forces of Ethiopia (2018-)","Military Forces of Eritrea (1993-)",1,"Civilians (Ethiopia)","Aid Workers (Ethiopia)",7,17,"Eastern Africa",Ethiopia,Tigray,"Central Tigray","Keyhe tekli","Kola Tambien",13.6645,38.9155,1,"Addis Standard",National,"On 28 April 2021, a (local) US AID employee was shot and killed by Ethiopian and Eritrean soldiers in Kola Tambien (Central Tigray, Tigray).",1,1621889044,ETH
